cases.0.case_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.samples.0.tumor_descriptor	cases.0.samples.1.portions.0.analytes.0.aliquots.0.aliquot_id	cases.0.samples.1.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.1.sample_id	cases.0.samples.1.sample_type	cases.0.samples.1.submitter_id	cases.0.samples.1.tissue_type	cases.0.samples.1.tumor_descriptor	cases.0.samples.2.portions.0.analytes.0.aliquots.0.aliquot_id	cases.0.samples.2.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.2.sample_id	cases.0.samples.2.sample_type	cases.0.samples.2.submitter_id	cases.0.samples.2.tissue_type	cases.0.samples.2.tumor_descriptor	cases.0.submitter_id	data_category	data_type	file_id	file_name	id
05f01280-bf77-4682-a7a8-20dd0eac77bd	9407d66f-71b8-4f16-9016-51baeaa647cb	TCGA-BB-4223-01A-01R-1436-07	82db742d-885d-4788-b509-474715ae183b	Primary Tumor	TCGA-BB-4223-01A	Not Reported																TCGA-BB-4223	Transcriptome Profiling	Gene Expression Quantification	cb76eaa5-36bd-49aa-8301-d752230ea9d6	acc7d983-3759-489f-844f-d87543f07b26.FPKM-UQ.txt.gz	cb76eaa5-36bd-49aa-8301-d752230ea9d6
ad6c9d09-2c03-4786-a72d-dd2aa5f603d4	d2aace76-8b2d-4b26-8d10-ca4cf14ef868	TCGA-CX-7086-01A-11R-2081-07	b293a736-9a82-4ad9-bf7e-9e2cea09ddbc	Primary Tumor	TCGA-CX-7086-01A	Not Reported																TCGA-CX-7086	Transcriptome Profiling	Gene Expression Quantification	15fca218-9237-4fc0-98fc-fb261177d45f	78ceafce-5a78-4278-8b9e-31b25339512a.FPKM-UQ.txt.gz	15fca218-9237-4fc0-98fc-fb261177d45f
de206681-3e27-4d4f-8669-aefb12b5b1e3	7a5501d0-e090-4288-ad1d-2b7b9b5eb13a	TCGA-CV-7183-01A-11R-2016-07	0bfd11fd-b227-41ef-bd54-7be877bce5a2	Primary Tumor	TCGA-CV-7183-01A	Not Reported																TCGA-CV-7183	Transcriptome Profiling	Gene Expression Quantification	cf1b82e4-b39a-4860-a8ad-c627bf37312c	eaf69a94-f9b7-4177-b5eb-aa16cf102b96.FPKM-UQ.txt.gz	cf1b82e4-b39a-4860-a8ad-c627bf37312c
563d67a1-f1ba-4722-aa2d-9b35b1689468	d57626ff-a552-4e9a-a54d-6fbad5be0a74	TCGA-CA-5255-01A-11R-1839-07	5747e3d1-3c16-4c85-be2e-bfab9584d61b	Primary Tumor	TCGA-CA-5255-01A	Not Reported																TCGA-CA-5255	Transcriptome Profiling	Gene Expression Quantification	41e40336-8b3e-4d76-9357-9ddbffd675f1	f1038bc1-954d-4476-8abe-85093c206a5d.FPKM-UQ.txt.gz	41e40336-8b3e-4d76-9357-9ddbffd675f1
2bc5b2ec-aa8f-4889-9d92-d27f96c9fda1	922a7d50-da61-4f63-bdd2-d74f1dd3f32c	TCGA-A3-3373-01A-02R-1420-07	e17b07be-9e48-4235-8f25-b3a3929ee61b	Primary Tumor	TCGA-A3-3373-01A	Not Reported																TCGA-A3-3373	Transcriptome Profiling	Gene Expression Quantification	6fbb4fa9-be4c-49b4-8378-63d45f2100ea	e9aa9cb2-b87f-4d1f-8627-11a1c1d900c7.FPKM-UQ.txt.gz	6fbb4fa9-be4c-49b4-8378-63d45f2100ea
cf77fe39-0b4a-4b38-b563-2a244b9fb5c0	aed585d4-f5ff-4de3-a405-64c6c057d52e	TCGA-B0-4845-01A-01R-1277-07	eab2c452-8263-4351-9150-7b51f84066c3	Primary Tumor	TCGA-B0-4845-01A	Not Reported																TCGA-B0-4845	Transcriptome Profiling	Gene Expression Quantification	c16a0be2-2c14-4f8d-83f6-6daa7cdcf5eb	586afb0b-e791-4efe-b5c9-eaac6ecce723.FPKM-UQ.txt.gz	c16a0be2-2c14-4f8d-83f6-6daa7cdcf5eb
f3a626e4-2d93-4d13-a34c-de0e0c6118ac	7aad25fb-ebf1-4540-946a-9bc25b3b3c41	TCGA-CV-7423-01A-11R-2081-07	ed42e6f5-9894-49f5-a2a9-e12a9f342ce5	Primary Tumor	TCGA-CV-7423-01A	Not Reported																TCGA-CV-7423	Transcriptome Profiling	Gene Expression Quantification	56b5746f-b2d6-4f3c-8127-3a96cd0644c6	be42dffc-81a2-4fec-a533-1fcc512d392c.FPKM-UQ.txt.gz	56b5746f-b2d6-4f3c-8127-3a96cd0644c6
d7048098-09b3-4763-ad54-9c5c6fe14bc0	f929a4be-b527-4e99-9b29-ef28d62f0bbb	TCGA-CM-6678-01A-11R-1839-07	010eccdb-0d4b-4808-b210-8c462ad05925	Primary Tumor	TCGA-CM-6678-01A	Not Reported																TCGA-CM-6678	Transcriptome Profiling	Gene Expression Quantification	a437680b-d0c5-431d-9372-05ce107eeb94	6947d9d0-2d4f-444e-889f-7dafccb67251.FPKM-UQ.txt.gz	a437680b-d0c5-431d-9372-05ce107eeb94
df228c56-89ac-4122-93b3-6c0740c4ec09	d660ee4f-58f3-4fd9-997a-6a2d0eefa66f	TCGA-AA-3534-01A-01R-0821-07	ecade2c1-9de2-4b05-b30c-4c8b81c65ae1	Primary Tumor	TCGA-AA-3534-01A	Not Reported																TCGA-AA-3534	Transcriptome Profiling	Gene Expression Quantification	0bf0125f-1054-48aa-ad4b-dc48ee9975ba	a56fc33b-c67d-435c-8e07-ce1a50e360fa.FPKM-UQ.txt.gz	0bf0125f-1054-48aa-ad4b-dc48ee9975ba
e16e9535-b20f-4c9a-8b5b-82df80c99448	20923583-7bb2-4024-93a8-f0a4a659d686	TCGA-CV-5978-01A-11R-1686-07	7560ec6d-e0f2-4b55-88bf-62e7173126a1	Primary Tumor	TCGA-CV-5978-01A	Not Reported																TCGA-CV-5978	Transcriptome Profiling	Gene Expression Quantification	60befc07-1bdc-48d1-bba2-1da25bdf288a	f0f73c0a-ef91-4882-9912-09ce2ccea869.FPKM-UQ.txt.gz	60befc07-1bdc-48d1-bba2-1da25bdf288a
